label,code_bytes,L,recall_at_10,qps,qps_min,qps_max,p50_us,p50_us_min,p50_us_max,p95_us,p95_us_min,p95_us_max,p99_us,p99_us_min,p99_us_max,mean_cpu_us,mean_cpu_us_min,mean_cpu_us_max,mean_io_us,mean_io_us_min,mean_io_us_max,mean_comparisons,mean_comparisons_min,mean_comparisons_max,mean_hops,mean_hops_min,mean_hops_max,mean_ios,mean_ios_min,mean_ios_max,mean_exact_nav_reads,mean_exact_nav_reads_min,mean_exact_nav_reads_max,ssd_bytes_per_query,ssd_bytes_per_query_min,ssd_bytes_per_query_max,nav_dram_bytes_per_query,nav_dram_bytes_per_query_min,nav_dram_bytes_per_query_max,touched_bytes_per_query,touched_bytes_per_query_min,touched_bytes_per_query_max,peak_rss_kib,peak_rss_kib_min,peak_rss_kib_max,pq_resident_bytes,full_vector_resident_bytes,declared_nav_resident_bytes,query_scratch_bytes
pq32,32,50,0.98311,201.114,193.587,202.375,4432.0,4377.0,4643.0,6796.149999999998,6706.049999999999,6846.049999999999,8651.120000000003,8086.400000000009,9216.44000000001,809.7887,804.0449,850.72,3883.243,3858.0147,4025.8515,6643.0962,6643.0962,6643.0962,17.0474,17.0474,17.0474,62.8464,62.8464,62.8464,0.0,0.0,0.0,257418.8544,257418.8544,257418.8544,0.0,0.0,0.0,257418.8544,257418.8544,257418.8544,60684.0,60680.0,60688.0,32000000,0,32000000,
pq32,32,100,0.9963299999999999,116.198,112.454,117.977,7692.0,7579.0,8028.0,11585.099999999999,11583.05,11788.05,14427.080000000002,14280.01,14788.250000000005,1404.5488,1378.1605,1465.4499,6732.079,6629.9337,6948.6948,11166.5117,11166.5117,11166.5117,29.0316,29.0316,29.0316,111.7922,111.7922,111.7922,0.0,0.0,0.0,457900.8512,457900.8512,457900.8512,0.0,0.0,0.0,457900.8512,457900.8512,457900.8512,60684.0,60680.0,60688.0,32000000,0,32000000,
pq32,32,150,0.99823,81.4488,78.283,81.7997,11141.0,11061.0,11662.0,16775.1,16276.0,16954.149999999998,19778.54000000001,19766.220000000005,20180.07,2036.7992,2034.4045,2144.929,9632.1738,9583.9247,10007.7671,15572.5539,15572.5539,15572.5539,41.57,41.57,41.57,161.2154,161.2154,161.2154,0.0,0.0,0.0,660338.2784,660338.2784,660338.2784,0.0,0.0,0.0,660338.2784,660338.2784,660338.2784,60684.0,60680.0,60688.0,32000000,0,32000000,
pq32,32,200,0.99889,63.0932,60.4347,63.2172,14284.0,14240.0,15059.0,21239.1,21168.249999999996,21989.499999999993,24716.300000000007,24656.190000000002,25329.160000000003,2558.9398,2550.1338,2720.5749,12481.576,12431.9566,12982.8722,19892.911,19892.911,19892.911,53.7368,53.7368,53.7368,210.8716,210.8716,210.8716,0.0,0.0,0.0,863730.0736,863730.0736,863730.0736,0.0,0.0,0.0,863730.0736,863730.0736,863730.0736,60684.0,60680.0,60688.0,32000000,0,32000000,
pq32,32,300,0.9992400000000001,42.7488,41.7631,43.1248,21554.5,21329.5,22027.0,31147.549999999992,31133.149999999998,31802.449999999993,35198.40000000001,35128.92000000002,35568.350000000006,3805.9495,3764.9429,3955.6336,18478.4714,18319.2999,18864.1973,28340.737,28340.737,28340.737,78.5799,78.5799,78.5799,310.3728,310.3728,310.3728,0.0,0.0,0.0,1271286.9888,1271286.9888,1271286.9888,0.0,0.0,0.0,1271286.9888,1271286.9888,1271286.9888,60684.0,60680.0,60688.0,32000000,0,32000000,
exact,0,50,0.9897100000000001,187.27,187.156,189.918,4807.5,4745.0,4826.0,6998.0,6977.049999999999,7060.049999999999,9004.290000000006,8876.270000000006,9028.100000000002,1134.2084,1125.1976,1137.7535,3919.6626,3860.4698,3928.2036,6601.3463,6601.3463,6601.3463,16.9424,16.9424,16.9424,62.5508,62.5508,62.5508,4004.2512,4004.2512,4004.2512,256208.0768,256208.0768,256208.0768,2050176.6144,2050176.6144,2050176.6144,2306384.6912000002,2306384.6912000002,2306384.6912000002,545424.0,545416.0,546320.0,16000000,512000000,528000000,
exact,0,100,0.9974199999999999,109.252,108.635,110.918,8252.0,8196.0,8327.5,12100.0,11839.0,12153.099999999999,14953.220000000005,14805.320000000007,15418.090000000002,1973.2889,1947.4937,1996.647,6717.4152,6607.3134,6743.414,11123.086,11123.086,11123.086,28.9467,28.9467,28.9467,111.547,111.547,111.547,7140.008,7140.008,7140.008,456896.512,456896.512,456896.512,3655684.096,3655684.096,3655684.096,4112580.608,4112580.608,4112580.608,545424.0,545416.0,546320.0,16000000,512000000,528000000,
exact,0,150,0.9984799999999999,76.8775,76.2072,77.6895,11919.0,11771.0,12047.0,17204.1,17068.05,17311.249999999996,20509.190000000002,20469.100000000002,20763.0,2843.3357,2832.5141,2863.7981,9566.1538,9445.1083,9658.9196,15523.4501,15523.4501,15523.4501,41.5006,41.5006,41.5006,160.9928,160.9928,160.9928,10304.5392,10304.5392,10304.5392,659426.5088,659426.5088,659426.5088,5275924.0704,5275924.0704,5275924.0704,5935350.5792,5935350.5792,5935350.5792,545424.0,545416.0,546320.0,16000000,512000000,528000000,
exact,0,200,0.9990100000000001,59.4708,58.9364,60.0321,15452.0,15223.0,15569.5,22109.0,22087.05,22298.299999999996,25381.06,25275.11,25581.230000000003,3636.6298,3614.2786,3666.3005,12361.9247,12232.972,12484.9044,19839.0999,19839.0999,19839.0999,53.6569,53.6569,53.6569,210.636,210.636,210.636,13481.704,13481.704,13481.704,862765.056,862765.056,862765.056,6902632.448,6902632.448,6902632.448,7765397.504,7765397.504,7765397.504,545424.0,545416.0,546320.0,16000000,512000000,528000000,
exact,0,300,0.99924,40.399,40.1198,40.5711,22926.5,22898.0,23183.0,32473.05,32035.199999999997,32711.299999999996,36256.11,36188.11,36553.380000000005,5337.7351,5331.4792,5373.4952,18321.009,18208.1076,18446.8397,28281.0682,28281.0682,28281.0682,78.5111,78.5111,78.5111,310.1628,310.1628,310.1628,19851.4192,19851.4192,19851.4192,1270426.8288,1270426.8288,1270426.8288,10163926.6304,10163926.6304,10163926.6304,11434353.4592,11434353.4592,11434353.4592,545424.0,545416.0,546320.0,16000000,512000000,528000000,
