phase,label,mode,repeat,L,queries,qps,run_wall_s,p50_us,p95_us,p99_us,mean_cpu_us,mean_io_us,mean_comparisons,mean_hops,mean_ios,mean_exact_nav_reads,ssd_bytes_per_query,nav_dram_bytes_per_query,touched_bytes_per_query,peak_rss_kib,process_elapsed
full,pq32,pq,3,300,10000,41.7631,239.446,22027.0,31802.449999999993,35128.92000000002,3955.6336,18864.1973,28340.737,78.5799,310.3728,0.0,1271286.9888,0.0,1271286.9888,60680,11:14.26
full,exact,exact,1,50,10000,187.156,53.4313,4807.5,7060.049999999999,9004.290000000006,1134.2084,3928.2036,6601.3463,16.9424,62.5508,4004.2512,256208.0768,2050176.6144,2306384.6912000002,545416,11:36.87
full,exact,exact,1,100,10000,108.635,92.0514,8327.5,12153.099999999999,15418.090000000002,1996.647,6743.414,11123.086,28.9467,111.547,7140.008,456896.512,3655684.096,4112580.608,545416,11:36.87
full,exact,exact,1,150,10000,76.2072,131.221,12047.0,17311.249999999996,20469.100000000002,2863.7981,9658.9196,15523.4501,41.5006,160.9928,10304.5392,659426.5088,5275924.0704,5935350.5792,545416,11:36.87
full,exact,exact,1,200,10000,58.9364,169.674,15569.5,22298.299999999996,25275.11,3666.3005,12484.9044,19839.0999,53.6569,210.636,13481.704,862765.056,6902632.448,7765397.504,545416,11:36.87
full,exact,exact,1,300,10000,40.1198,249.254,23183.0,32473.05,36188.11,5373.4952,18446.8397,28281.0682,78.5111,310.1628,19851.4192,1270426.8288,10163926.6304,11434353.4592,545416,11:36.87
full,exact,exact,2,50,10000,189.918,52.6543,4745.0,6977.049999999999,9028.100000000002,1125.1976,3860.4698,6601.3463,16.9424,62.5508,4004.2512,256208.0768,2050176.6144,2306384.6912000002,546320,11:28.36
full,exact,exact,2,100,10000,109.252,91.5319,8252.0,12100.0,14953.220000000005,1973.2889,6717.4152,11123.086,28.9467,111.547,7140.008,456896.512,3655684.096,4112580.608,546320,11:28.36
full,exact,exact,2,150,10000,77.6895,128.718,11771.0,17204.1,20509.190000000002,2832.5141,9445.1083,15523.4501,41.5006,160.9928,10304.5392,659426.5088,5275924.0704,5935350.5792,546320,11:28.36
full,exact,exact,2,200,10000,60.0321,166.577,15223.0,22087.05,25381.06,3614.2786,12232.972,19839.0999,53.6569,210.636,13481.704,862765.056,6902632.448,7765397.504,546320,11:28.36
full,exact,exact,2,300,10000,40.399,247.531,22926.5,32711.299999999996,36553.380000000005,5331.4792,18321.009,28281.0682,78.5111,310.1628,19851.4192,1270426.8288,10163926.6304,11434353.4592,546320,11:28.36
full,exact,exact,3,50,10000,187.27,53.3989,4826.0,6998.0,8876.270000000006,1137.7535,3919.6626,6601.3463,16.9424,62.5508,4004.2512,256208.0768,2050176.6144,2306384.6912000002,545424,11:29.70
full,exact,exact,3,100,10000,110.918,90.157,8196.0,11839.0,14805.320000000007,1947.4937,6607.3134,11123.086,28.9467,111.547,7140.008,456896.512,3655684.096,4112580.608,545424,11:29.70
full,exact,exact,3,150,10000,76.8775,130.077,11919.0,17068.05,20763.0,2843.3357,9566.1538,15523.4501,41.5006,160.9928,10304.5392,659426.5088,5275924.0704,5935350.5792,545424,11:29.70
full,exact,exact,3,200,10000,59.4708,168.15,15452.0,22109.0,25581.230000000003,3636.6298,12361.9247,19839.0999,53.6569,210.636,13481.704,862765.056,6902632.448,7765397.504,545424,11:29.70
full,exact,exact,3,300,10000,40.5711,246.481,22898.0,32035.199999999997,36256.11,5337.7351,18208.1076,28281.0682,78.5111,310.1628,19851.4192,1270426.8288,10163926.6304,11434353.4592,545424,11:29.70
