standalone_allocated_bytes	mtime_utc	path
14130737152	2026-07-18T03:42:41Z	/home/ubuntu/pz/VectorDB/data/VectorDB/dynamic_vamana_atlas/formal/pilot3_sift10m_write_attribution_m1_scale_r01/DGAI/m1-n200000-01/index
14130737152	2026-07-18T03:56:36Z	/home/ubuntu/pz/VectorDB/data/VectorDB/dynamic_vamana_atlas/formal/pilot3_sift10m_write_attribution_m1_scale_r01/DGAI/m1-n400000-01/index
14130737152	2026-07-18T03:34:21Z	/home/ubuntu/pz/VectorDB/data/VectorDB/dynamic_vamana_atlas/formal/pilot3_sift10m_write_attribution_m1_scale_r01/DGAI/m1-n50000-01/index
1696350208	2026-07-15T14:24:44Z	/home/ubuntu/pz/VectorDB/data/VectorDB/dynamic_vamana_atlas/formal/pilot3_w1_formal_path_replay_r09/OdinANN/replay-01/index
1415114752	2026-07-13T14:03:39Z	/home/ubuntu/pz/VectorDB/data/VectorDB/dynamic_vamana_atlas/formal/pilot3_w1_formal_path_replay_r09/DGAI/replay-01/index
1415229440	2026-07-16T17:29:55Z	/home/ubuntu/pz/VectorDB/data/VectorDB/dynamic_vamana_atlas/formal/pilot3_w1_cp05_trajectory_replay_r03/DGAI/sequential-cp80-03/index
1415086080	2026-07-17T07:51:15Z	/home/ubuntu/pz/VectorDB/data/VectorDB/dynamic_vamana_atlas/formal/pilot3_w1_cp05_trajectory_replay_r06/DGAI/sequential-cp80-06/index
16960311296	2026-07-17T16:30:23Z	/home/ubuntu/pz/VectorDB/data/VectorDB/dynamic_vamana_atlas/formal/pilot3_sift10m_write_attribution_m0_r03/OdinANN/m0-n100000-03/index
14130737152	2026-07-17T16:21:53Z	/home/ubuntu/pz/VectorDB/data/VectorDB/dynamic_vamana_atlas/formal/pilot3_sift10m_write_attribution_m0_r03/DGAI/m0-n100000-03/index
8480157696	2026-07-14T12:11:22Z	/home/ubuntu/pz/VectorDB/data/VectorDB/dynamic_vamana_atlas/formal/pilot3_sift10m_p1r08/f0/OdinANN/p1r08-odin-01/index
14130737152	2026-07-14T11:46:30Z	/home/ubuntu/pz/VectorDB/data/VectorDB/dynamic_vamana_atlas/formal/pilot3_sift10m_p1r08/f0/DGAI/p1r08-dgai-01/index
14130737152	2026-07-14T11:46:30Z	/home/ubuntu/pz/VectorDB/data/VectorDB/dynamic_vamana_atlas/formal/pilot3_sift10m_w1_r04/DGAI/cp01-04/index
16960311296	2026-07-17T11:00:30Z	/home/ubuntu/pz/VectorDB/data/VectorDB/dynamic_vamana_atlas/z0b_sequence_endpoint_reclaim_0719/work/odinann-400k-r1/index
16960311296	2026-07-17T11:00:30Z	/home/ubuntu/pz/VectorDB/data/VectorDB/dynamic_vamana_atlas/z0b_sequence_endpoint_reclaim_0719/work/odinann-400k-r2/index
14130724864	2026-07-17T10:33:27Z	/home/ubuntu/pz/VectorDB/data/VectorDB/dynamic_vamana_atlas/z0b_sequence_endpoint_reclaim_0719/work/dgai-50k-r3/index
16960311296	2026-07-17T11:00:30Z	/home/ubuntu/pz/VectorDB/data/VectorDB/dynamic_vamana_atlas/z0b_sequence_endpoint_reclaim_0719/work/odinann-400k-r3/index
14130737152	2026-07-17T10:33:27Z	/home/ubuntu/pz/VectorDB/data/VectorDB/dynamic_vamana_atlas/z0b_sequence_endpoint_reclaim_0719/work/dgai-50k-r1/index
14130737152	2026-07-17T10:33:27Z	/home/ubuntu/pz/VectorDB/data/VectorDB/dynamic_vamana_atlas/z0b_sequence_endpoint_reclaim_0719/work/dgai-50k-r2/index
1943212032	2026-07-11T12:35:24Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/sift_900k_stable/index
