query_id,expanded_reads,unique_sectors,baseline_sector_rereads,bonus_exposures,unique_bonus_nodes,bonus_in_gt100,bonus_visited_later,bonus_in_final_topk,bonus_gt100_fraction,bonus_later_fraction,bonus_final_fraction,estimated_avoidable_reads,estimated_io_savings_fraction
223,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
224,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
225,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
226,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
227,108,108,0,432,432,0,0,0,0.0,0.0,0.0,0,0.0
228,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
229,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
230,108,107,1,431,428,1,1,1,0.002336448598130841,0.002336448598130841,0.002336448598130841,1,0.009259259259259259
231,109,109,0,436,436,0,0,0,0.0,0.0,0.0,0,0.0
232,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
233,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
234,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
235,108,107,1,431,428,1,1,0,0.002336448598130841,0.002336448598130841,0.0,1,0.009259259259259259
236,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
237,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
238,105,104,1,419,416,1,1,0,0.002403846153846154,0.002403846153846154,0.0,1,0.009523809523809525
239,106,105,1,423,420,1,1,0,0.002380952380952381,0.002380952380952381,0.0,1,0.009433962264150943
240,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
241,108,106,2,430,424,0,2,0,0.0,0.0047169811320754715,0.0,2,0.018518518518518517
242,104,104,0,416,416,0,0,0,0.0,0.0,0.0,0,0.0
243,108,108,0,432,432,0,0,0,0.0,0.0,0.0,0,0.0
244,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
245,105,104,1,419,416,1,1,0,0.002403846153846154,0.002403846153846154,0.0,1,0.009523809523809525
246,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
247,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
248,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
249,103,101,2,410,404,2,2,0,0.0049504950495049506,0.0049504950495049506,0.0,2,0.019417475728155338
250,104,104,0,416,416,0,0,0,0.0,0.0,0.0,0,0.0
251,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
252,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
253,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
254,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
255,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
256,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
257,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
258,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
259,106,104,2,422,416,2,2,0,0.004807692307692308,0.004807692307692308,0.0,2,0.018867924528301886
260,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
261,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
262,104,104,0,416,416,0,0,0,0.0,0.0,0.0,0,0.0
263,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
264,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
265,108,100,8,424,400,8,8,0,0.02,0.02,0.0,8,0.07407407407407407
266,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
267,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
268,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
269,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
270,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
271,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
272,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
273,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
274,106,106,0,424,424,1,0,0,0.0023584905660377358,0.0,0.0,0,0.0
275,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
276,108,108,0,432,432,0,0,0,0.0,0.0,0.0,0,0.0
277,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
278,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
279,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
280,107,106,1,427,424,1,1,0,0.0023584905660377358,0.0023584905660377358,0.0,1,0.009345794392523364
281,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
282,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
283,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
284,108,108,0,432,432,0,0,0,0.0,0.0,0.0,0,0.0
285,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
286,107,105,2,426,420,2,2,0,0.004761904761904762,0.004761904761904762,0.0,2,0.018691588785046728
287,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
288,106,105,1,423,420,1,1,0,0.002380952380952381,0.002380952380952381,0.0,1,0.009433962264150943
289,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
290,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
291,106,105,1,423,420,1,1,0,0.002380952380952381,0.002380952380952381,0.0,1,0.009433962264150943
292,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
293,108,108,0,432,432,0,0,0,0.0,0.0,0.0,0,0.0
294,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
295,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
296,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
297,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
298,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
299,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
300,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
301,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
302,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
303,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
304,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
305,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
306,109,108,1,435,432,1,1,0,0.0023148148148148147,0.0023148148148148147,0.0,1,0.009174311926605505
307,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
308,103,103,0,412,412,0,0,0,0.0,0.0,0.0,0,0.0
309,109,109,0,436,436,0,0,0,0.0,0.0,0.0,0,0.0
310,103,102,1,411,408,1,1,0,0.0024509803921568627,0.0024509803921568627,0.0,1,0.009708737864077669
311,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
312,104,104,0,416,416,0,0,0,0.0,0.0,0.0,0,0.0
313,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
314,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
315,105,104,1,419,416,1,1,0,0.002403846153846154,0.002403846153846154,0.0,1,0.009523809523809525
316,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
317,107,106,1,427,424,0,1,0,0.0,0.0023584905660377358,0.0,1,0.009345794392523364
318,104,104,0,416,416,0,0,0,0.0,0.0,0.0,0,0.0
319,105,104,1,419,416,1,1,0,0.002403846153846154,0.002403846153846154,0.0,1,0.009523809523809525
320,106,105,1,423,420,0,1,0,0.0,0.002380952380952381,0.0,1,0.009433962264150943
321,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
322,107,106,1,427,424,1,1,0,0.0023584905660377358,0.0023584905660377358,0.0,1,0.009345794392523364
323,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
324,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
325,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
326,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
327,109,109,0,436,436,0,0,0,0.0,0.0,0.0,0,0.0
328,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
